customer_id,gender,age,payment_method,payment_amount,shopping_mall,timestamp,customer_name
C220495,Female,37,Debit Card,165.16,Viaport Outlet,2022-08-17 14:51:31,
C159377,Female,62,Credit Card,600.17,Metrocity,2022-08-17 14:53:37,
C159056,Female,66,Debit Card,149.63,Metropol AVM,2022-08-17 14:55:23,
C191512,Female,51,Credit Card,7502.0,Kanyon,2022-08-17 14:55:48,
C427173,Male,18,Credit Card,40.66,Metropol AVM,2022-08-17 14:57:52,
C148831,Female,37,Debit Card,2400.68,Kanyon,2022-08-17 14:59:08,
C427173,Male,18,Credit Card,40.66,Metropol AVM,2022-08-17 15:01:28,
C162967,Male,40,Credit Card,16800.0,Metrocity,2022-08-17 15:01:36,
C173637,Female,44,Credit Card,13503.83,Kanyon,2022-08-17 15:01:59,
C838623,Male,55,Debit Card,6901.84,Kanyon,2022-08-17 15:02:30,
C792800,Female,40,Credit Card,285.08,Mall of Istanbul,2022-08-17 15:02:33,
C128099,Female,45,Credit Card,348.45,Viaport Outlet,2022-08-17 15:03:18,ADRIENNE WELLS
C708973,Male,43,Debit Card,143.36,Mall of Istanbul,2022-08-17 15:04:59,
C191512,Female,51,Credit Card,7502.0,Kanyon,2022-08-17 15:05:04,
C545772,Male,42,Credit Card,2160.61,Mall of Istanbul,2022-08-17 15:06:35,
C159377,Female,62,Credit Card,600.17,Metrocity,2022-08-17 15:07:19,
C830935,Male,60,Credit Card,6901.84,Mall of Istanbul,2022-08-17 15:07:19,
C220495,Female,37,Debit Card,165.16,Viaport Outlet,2022-08-17 15:07:22,
C128099,Female,45,Credit Card,348.45,Viaport Outlet,2022-08-17 15:08:40,
C279345,Male,32,Credit Card,300.08,Istinye Park,2022-08-17 15:09:15,
C288129,Female,55,Debit Card,6601.76,Istinye Park,2022-08-17 15:09:57,
C792800,Female,40,Credit Card,285.08,Mall of Istanbul,2022-08-17 15:10:24,
C162967,Male,40,Credit Card,16800.0,Metrocity,2022-08-17 15:10:38,
C144924,Female,69,Credit Card,6901.84,Metrocity,2022-08-17 15:11:16,
C165218,Female,69,Debit Card,83.68,Forum Istanbul,2022-08-17 15:12:08,
C838623,Male,55,Debit Card,6901.84,Kanyon,2022-08-17 15:13:11,
C292543,Female,51,Debit Card,14254.04,Viaport Outlet,2022-08-17 15:14:05,
C427173,Male,18,Credit Card,40.66,Metropol AVM,2022-08-17 15:14:47,
C316224,Male,67,Credit Card,105.57,Metrocity,2022-08-17 15:15:04,
C258244,Female,33,Debit Card,9450.0,Istinye Park,2022-08-17 15:15:20,
C838623,Male,55,Debit Card,6901.84,Kanyon,2022-08-17 15:16:31,
C235149,Male,39,Credit Card,306.43,Cevahir AVM,2022-08-17 15:18:13,
C708973,Male,43,Debit Card,143.36,Mall of Istanbul,2022-08-17 15:18:15,
C251900,Male,64,Credit Card,162.64,Kanyon,2022-08-17 15:18:27,
C312040,Male,33,Debit Card,162.64,Mall of Istanbul,2022-08-17 15:18:46,
C427173,Male,18,Credit Card,40.66,Metropol AVM,2022-08-17 15:19:50,
C251900,Male,64,Credit Card,162.64,Kanyon,2022-08-17 15:20:44,
C614018,Female,18,Credit Card,4801.28,Metropol AVM,2022-08-17 15:21:01,
C614018,Female,18,Credit Card,4801.28,Metropol AVM,2022-08-17 15:21:40,
C427173,Male,18,Credit Card,40.66,Metropol AVM,2022-08-17 15:23:05,
C159056,Female,66,Debit Card,149.63,Metropol AVM,2022-08-17 15:23:10,
C224046,Female,39,Credit Card,187.68,Metropol AVM,2022-08-17 15:24:04,
C223012,Female,36,Credit Card,79.5,Mall of Istanbul,2022-08-17 15:25:01,
C228957,Male,55,Credit Card,892.5,Metrocity,2022-08-17 15:27:32,
C204269,Male,62,Credit Card,41.42,Viaport Outlet,2022-08-17 15:28:48,
C173637,Female,44,Credit Card,13503.83,Kanyon,2022-08-17 15:28:59,
C144924,Female,69,Credit Card,6901.84,Metrocity,2022-08-17 15:31:02,
C830935,Male,60,Credit Card,6901.84,Mall of Istanbul,2022-08-17 15:31:35,
C283997,Female,62,Credit Card,4801.28,Metropol AVM,2022-08-17 15:31:35,
C218532,Male,29,Credit Card,130.75,Forum Istanbul,2022-08-17 15:32:35,
C748147,Male,28,Credit Card,47.07,Kanyon,2022-08-17 15:35:20,
C871854,Female,53,Debit Card,105.57,Mall of Istanbul,2022-08-17 15:38:53,
C148831,Female,37,Debit Card,2400.68,Kanyon,2022-08-17 15:39:03,
C183524,Female,63,Credit Card,162.64,Mall of Istanbul,2022-08-17 15:39:24,
C173637,Female,44,Credit Card,13503.83,Kanyon,2022-08-17 15:40:59,
C281508,Female,28,Debit Card,20.92,Metrocity,2022-08-17 15:41:43,
C251900,Male,64,Credit Card,162.64,Kanyon,2022-08-17 15:42:23,
C985825,Male,67,Debit Card,960.26,Mall of Istanbul,2022-08-17 15:42:36,
C258244,Female,33,Debit Card,9450.0,Istinye Park,2022-08-17 15:42:47,
C223012,Female,36,Credit Card,79.5,Mall of Istanbul,2022-08-17 15:43:58,
C148831,Female,37,Debit Card,2400.68,Kanyon,2022-08-17 15:44:26,
C153158,Male,68,Credit Card,650.56,Zorlu Center,2022-08-17 15:44:51,
C112595,Male,37,Debit Card,292.75,Metropol AVM,2022-08-17 15:46:55,AARON ANDERSON
C316224,Male,67,Credit Card,105.57,Metrocity,2022-08-17 15:47:45,
C251900,Male,64,Credit Card,162.64,Kanyon,2022-08-17 15:50:03,
C211813,Female,62,Credit Card,35.84,Forum Istanbul,2022-08-17 15:50:26,
C224046,Female,39,Credit Card,187.68,Metropol AVM,2022-08-17 15:50:53,
C312040,Male,33,Debit Card,162.64,Mall of Istanbul,2022-08-17 15:54:00,
C282569,Male,18,Debit Card,54.54,Zorlu Center,2022-08-17 15:54:00,
C208959,Female,40,Credit Card,143.36,Metropol AVM,2022-08-17 15:54:16,
C223012,Female,36,Credit Card,79.5,Mall of Istanbul,2022-08-17 15:54:24,
C181216,Female,41,Credit Card,6751.8,Kanyon,2022-08-17 15:54:56,
C830935,Male,60,Credit Card,6901.84,Mall of Istanbul,2022-08-17 15:55:50,
C220495,Female,37,Debit Card,165.16,Viaport Outlet,2022-08-17 15:57:14,
C173637,Female,44,Credit Card,13503.83,Kanyon,2022-08-17 15:57:28,
C183524,Female,63,Credit Card,162.64,Mall of Istanbul,2022-08-17 15:58:30,
C132495,Male,32,Credit Card,162.64,Emaar Square Mall,2022-08-17 16:00:05,
C641509,Male,35,Debit Card,365.94,Metropol AVM,2022-08-17 16:00:16,
C208959,Female,40,Credit Card,143.36,Metropol AVM,2022-08-17 16:03:38,
C148831,Female,37,Debit Card,2400.68,Kanyon,2022-08-17 16:04:40,
C112595,Male,37,Debit Card,292.75,Metropol AVM,2022-08-17 16:05:44,
C224046,Female,39,Credit Card,187.68,Metropol AVM,2022-08-17 16:09:01,MARIA PARKER
C641509,Male,35,Debit Card,365.94,Metropol AVM,2022-08-17 16:12:51,
C609746,Female,26,Debit Card,32.529999999999994,Istinye Park,2022-08-17 16:14:10,
C289117,Male,56,Credit Card,117.67,Mall of Istanbul,2022-08-17 16:16:12,
C218532,Male,29,Credit Card,130.75,Forum Istanbul,2022-08-17 16:17:05,
C330248,Male,56,Credit Card,4801.28,Viaport Outlet,2022-08-17 16:18:43,
C117589,Female,58,Credit Card,21000.0,Istinye Park,2022-08-17 16:20:16,
C792800,Female,40,Credit Card,285.08,Mall of Istanbul,2022-08-17 16:20:29,
C183524,Female,63,Credit Card,162.64,Mall of Istanbul,2022-08-17 16:20:58,
C288129,Female,55,Debit Card,6601.76,Istinye Park,2022-08-17 16:22:04,
C356129,Male,35,Debit Card,365.94,Mall of Istanbul,2022-08-17 16:24:23,
C208959,Female,40,Credit Card,143.36,Metropol AVM,2022-08-17 16:26:20,
C191512,Female,51,Credit Card,7502.0,Kanyon,2022-08-17 16:28:09,
C202829,Female,52,Debit Card,4.970000000000001,Metrocity,2022-08-17 16:29:13,
C270638,Female,26,Debit Card,293.25,Kanyon,2022-08-17 16:30:00,
C116623,Female,27,Debit Card,60.6,Metropol AVM,2022-08-17 16:30:22,
C708973,Male,43,Debit Card,143.36,Mall of Istanbul,2022-08-17 16:31:24,
C251900,Male,64,Credit Card,162.64,Kanyon,2022-08-17 16:31:28,
C830935,Male,60,Credit Card,6901.84,Mall of Istanbul,2022-08-17 16:32:49,
C417114,Male,32,Credit Card,138.23999999999998,Metrocity,2022-08-17 16:32:50,
C208959,Female,40,Credit Card,143.36,Metropol AVM,2022-08-17 16:33:10,
C148831,Female,37,Debit Card,2400.68,Kanyon,2022-08-17 16:36:21,LAURA SMITH
C356508,Male,54,Credit Card,4.180000000000001,Kanyon,2022-08-17 16:37:36,
C112595,Male,37,Debit Card,292.75,Metropol AVM,2022-08-17 16:40:41,
C125963,Female,22,Debit Card,300.08,Kanyon,2022-08-17 16:42:05,
C282569,Male,18,Debit Card,54.54,Zorlu Center,2022-08-17 16:42:17,
C748147,Male,28,Credit Card,47.07,Kanyon,2022-08-17 16:42:23,
C427173,Male,18,Credit Card,40.66,Metropol AVM,2022-08-17 16:42:41,
C130087,Male,67,Credit Card,4321.15,Mall of Istanbul,2022-08-17 16:43:08,
C235149,Male,39,Credit Card,306.43,Cevahir AVM,2022-08-17 16:43:10,
C193925,Female,57,Debit Card,40.66,Metropol AVM,2022-08-17 16:46:07,
C288129,Female,55,Debit Card,6601.76,Istinye Park,2022-08-17 16:46:27,
C183524,Female,63,Credit Card,162.64,Mall of Istanbul,2022-08-17 16:47:01,
C252577,Male,67,Credit Card,2376.63,Mall of Istanbul,2022-08-17 16:49:29,
C191512,Female,51,Credit Card,7502.0,Kanyon,2022-08-17 16:51:34,
C218532,Male,29,Credit Card,130.75,Forum Istanbul,2022-08-17 16:52:25,
C273459,Male,18,Debit Card,1200.32,Metrocity,2022-08-17 16:52:51,
C153158,Male,68,Credit Card,650.56,Zorlu Center,2022-08-17 16:53:43,
C125963,Female,22,Debit Card,300.08,Kanyon,2022-08-17 16:53:45,
C356508,Male,54,Credit Card,4.180000000000001,Kanyon,2022-08-17 16:54:36,
C292543,Female,51,Debit Card,14254.04,Viaport Outlet,2022-08-17 16:56:53,
C991261,Female,67,Credit Card,7502.0,Emaar Square Mall,2022-08-17 16:59:20,
C708973,Male,43,Debit Card,143.36,Mall of Istanbul,2022-08-17 17:00:40,
C132495,Male,32,Credit Card,162.64,Emaar Square Mall,2022-08-17 17:01:25,
C225151,Female,26,Credit Card,15004.25,Metropol AVM,2022-08-17 17:03:35,
C867940,Male,33,Credit Card,4321.15,Zorlu Center,2022-08-17 17:04:29,
C159888,Female,43,Credit Card,26250.0,Viaport Outlet,2022-08-17 17:08:15,
